id,klass
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,1
508,1
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,1
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,1
551,0
552,0
553,1
554,0
555,1
556,1
557,0
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,1
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,1
637,1
638,0
639,0
640,1
641,1
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,0
676,1
677,0
678,1
679,1
680,1
681,0
682,1
683,1
684,0
685,1
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,1
707,1
708,1
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,1
753,0
754,0
755,1
756,1
757,1
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,1
772,0
773,1
774,1
775,0
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,1
807,1
808,0
809,1
810,1
811,1
812,0
813,0
814,0
815,0
816,1
817,0
818,1
819,0
820,1
821,0
822,0
823,0
824,1
825,0
826,1
827,1
828,0
829,1
830,0
831,0
832,0
833,1
834,0
835,0
836,1
837,0
838,1
839,1
840,1
841,0
842,0
843,1
844,0
